,city,country,latitude,location_data_accuracy,longitude,state,availability,average_image_size,bathroom,bedroom,cat,date_available,description,dog,housing_type,image_number,laundry,parking,price,smoking,square_footage,time_of_posting,url
5006781542,Arlington,US,38.880949,10,-77.084173,DC,available now,270000, 2,2 ,cats are OK - purrr,2015-07-08,"
 CALL US TODAY! 
show contact info
x198 2201 PERSHING2 bedroom 2 bath   1052sqft   $2,915  DESCRIPTION:  Beautiful two bedroom apartment with huge windows to allow lots of natural light to enter. Walking distance from shops, restaurants and metro station. A must see!  Minutes from Georgetown and within walking distance to Clarendon's Metro and Arlington Blvd. Enjoy a resort-style pool, courtyard with movie theater, grilling station, and jogging trails.  2209 Pershing Drive  Arlington, va 22201  PROPERTY WEBSITE:  http://www.eqrworld.com/virginia/alexandria-arlington-apartments/courthouse/2201-pershing-apartments.aspx?ilsid=93
",dogs are OK - wooof,apartment,6,w/d in unit,attached garage,$2915,no smoking,1052,2015-05-02  3:42pm,http://washingtondc.craigslist.org/nva/apa/5006781542.html
4967931104,,,,,,,available now,0,,0,cats are OK - purrr,2015-04-07,"
        Beautiful 1 bedroom condo in amazing location. Quiet top floor unit in 5 floor elevator building. Hardwood floors in living and bedrooms, tile in kitchen and bath. Lots of natural light from a bank of skylights in the living room and kitchen and lightwell next to the bedroom. Space is very well utilized in this lay out with ample storage for an apartment of this size. In unit W/D is located in large storage closet off the bedroom, in addition to the double closet in the bedroom and coat closet in the entryway. Bathroom, kitchen appliances, bedroom closets, and water heater were all updated only a few years ago. Conveniently located between Dupont, U Street, and Adams Morgan, everything is walkable from this apartment! Also has great investment potential as a rental unit.   

Call Us At.
show contact info

Lease 2 Buy

Reenter can become owner with our move in special deal
Mention property ID: DC9445
    ",dogs are OK - wooof,house,0,,attached garage,$805,,,2015-04-07  2:13pm,http://washingtondc.craigslist.org/nva/apa/4967931104.html
5006633496,,,38.904793,5,-77.207279,,available now,270000, 1,2 ,cats are OK - purrr,2015-05-02,"
 CALL US TODAY! 
show contact info
x572 THE OAKS AT FALLS CHURCH2 bedroom 1 bath   970sqft   $1,730 - $1,780  DESCRIPTION:  Relax in a lovely two bedroom, one bath apartment with balcony available now! The apartment has a large master bedroom with walk-in closet, stackable washer/dryer, gas stove, microwave and breakfast bar in the kitchen. We have a great location by Tysons Corner too! Hurry and schedule a tour before this apartment is gone!  2158 Evans Ct  Falls Church, va 22043  PROPERTY WEBSITE:  http://www.eqrworld.com/virginia/northern-virginia-apartments/tysons-corner/the-oaks-at-falls-church-apartments.aspx?ilsid=93
",dogs are OK - wooof,apartment,5,w/d in unit,,$1730,no smoking,970,2015-05-02  2:12pm,http://washingtondc.craigslist.org/nva/apa/5006633496.html
5006554932,Lake,US,38.686300,0,-77.308675,Ridge,available now,270000, 1,2 ,cats are OK - purrr,2015-05-31,"
        Dominion Lake Ridge, managed by UDR
3216 Bluff View Court
Lake Ridge, VA 22192
show contact info


Dominion Lake Ridge is extending fantastic move-in specials to propsective residents for a limited time! 

The Cambridge features a full-sized washer and dryer, vaulted ceilings, woodburning fireplace. Each unit has the option of having basic appliances or stainless steel. This apartment requires a $200 deposit.

Apartment Features
* Private Patio
* Extra Storage
* Linen Closet
* Lofty Vaulted Ceilings
* High Efficiency Lighting Fixtures
* Electric Stove
* Whirlpool Appliances
* Fireplace
* Walk-in Closet
* Environmentally Friendly Low VOC Paint
* Dishwasher
* Air Conditioning
* Private Balcony
* Furnished Options Available, Call for Pricing
* Vertical Blinds
* Refrigerator
* Ceiling Fan
* Central Heat and Air
* Full sized Washer and Dryer in unit

[#1663085]
",dogs are OK - wooof,apartment,14,w/d in unit,off-street parking,$1450,,851,2015-05-02  1:27pm,http://washingtondc.craigslist.org/nva/apa/5006554932.html
5006460131,Arlington,US,38.862804,10,-77.053945,DC,available now,270000, 1,1 ,cats are OK - purrr,2015-05-02,"
        Pentagon City Apartments

1221 South Eads Street, Arlington, VA 22202

Building & Floor Plan Description:

Unique Floor Plan Layouts: 21
Total number of Units on Property: 534
WalkScore: 83 • TransitScore: 78 • BikeScore: 75

Two Months Free!!! - 13 mo. Lease
*Restrictions Apply
show contact info


Looking for a Dog Friendly 1B+Den on Special and Available NOW?

Gather URL below into a browser window or new browser tab.
http://www.meridianpentagoncitycl.com

Floor Plan Details
""Ellington"", 1+ bed/1 bath, 904 sqft, Other

More About This Property
Meridian at Pentagon City is the Destination Address that proves you don't have to live in the District of Columbia to be a true resident of the Nation's Capital. Your new address is the center of the DC Metro area, including all commuter routes, and of course, the area's top shopping, dining, night life and public parks. Just off I-395 in sight of the Pentagon, you're at city center. Pentagon City center!

Features
Wall-to-Wall Carpeting
Frost-Free Refrigerator
Insulated, Double-Paned Windows
Individually Controlled Air Conditioning
Spacious Floorplans with Oversized Ceiling-Height Windows
Patio or Balcony
Individually Controlled Gas Heat and Hot Water
Vertical Blinds
Pre-Wired for Cable TV, Telephone and High-Speed Internet
Cultured Marble Vanities in Bathroom
Ceramic Tile Floors and Ceramic Tub Surrounds in Bathrooms
Kitchen Cabinets with Adjustable Shelving
Self-Cleaning Ovens
Built-In Microwave Ovens
Full Sized Washer/Dryer in Each Apartment
Breakfast Bar
Gas Cooking
Furnished Apartments Available
Dogs and Cats Welcome (Restrictions Apply)
*Walk-In Closets
*10-Foot Ceilings
*Fireplace
Amenities
Credit Cards Accepted
Clubroom
Preferred Zipcar Membership
Storage Units Available
Easy Access to I-395, I-66 and DC Thoroughfares
A Step Away from Crystal City and Pentagon City Metro Stations
Business Center with Complimentary WiFi
Walking Distance to Shopping and Dining
24-Hour Concierge Service
Rooftop Swimming Pool with Sundeck
State-of-the-Art Fitness Facility with iPod Integration
Underground Parking
Controlled Building Access
Guest Suite Accommodations
24-Hour Emergency Maintenance
Car Wash Area
Dog Park
Valet Dry Cleaner On-Site
24-Hour Complimentary Coffee Service
Picnic/Barbeque Area
What people are saying about Pentagon City

""Moved in 8/15/14, out 2/28/15. Picked this complex after visiting a dozen or more in the greater Pentagon, Ballston, Clarendon area. Price is competitive and often less than others for comparable sized apartment. Management and concierges are superb."" -- Resident 

""While pets are allowed, owners recognized the need for leashes and caution at all times...barking was next to non-existent, and NEVER at night."" -- Resident 

""Great sense of community, wonderful staff, you get what you pay for, the front desk is always present. The apartments are very well insulated so there is little to no need for the heating during winter. During summer it gets hot outside and the apartments keep cool."" -- Resident 

Cats Allowed / Dogs Allowed
Breed and weight restrictions may apply.
Dogs: Under 80 pounds, breed restrictions, and limited floors.
Pet Fees: $400 pet fee and $40/mo pet rent.



The monthly rental price stated on Craigslist is accurate at the time of post.
Please call to verify all pricing and availability as it may be subject to change daily.

Pentagon City / Equal Housing Opportunity
    ",dogs are OK - wooof,apartment,6,w/d in unit,attached garage,$1980,,904,2015-05-02 12:33pm,http://washingtondc.craigslist.org/nva/apa/5006460131.html
5006407948,,,,,,,available now,270000, 2,2 ,,2016-05-01,"
        Enjoy a life of perfect balance. Monroe Place is everything you're looking for in an apartment home. Luxury. Convenience. Accessibility. Value. Make Monroe Place your new home.

The master suite features a private bathroom and walk-in closet. 

Monroe Place, managed by Gates Hudson
2300 Woodland Crossing Dr
Herndon, VA 20171
show contact info


VIEW OUR WEBSITE:

http://www.monroeplaceapts.com



[#1661164]
",,apartment,13,w/d in unit,,$2135,,982,2015-05-02 12:03pm,http://washingtondc.craigslist.org/nva/apa/5006407948.html
5006427045,Arlington,US,38.889749,10,-77.081674,DC,available now,270000, 2,2 ,cats are OK - purrr,2015-05-02,"
 CALL US TODAY! 
show contact info
x427 THE PRIME AT ARLINGTON COURTHOUSE2 bedroom 2 bath   1181sqft   $2,595 - $2,700  DESCRIPTION:  The Prime at Arlington Courthouse apartments in Clarendon, Arlington are located in the neighborhood, minutes from the Courthouse Metro and the business district. The Prime at Arlington Courthouse apartments' convenient location near I-66, Georgetown and Alexandria provides easy access to shopping, dining and entertainment. There's even a Capital Bikeshare station just 2 blocks away from The Prime at Arlington Courthouse apartments at the Courthouse Metro. Once inside, residents of our The Prime at Arlington Courthouse apartments will enjoy spacious closets, an in-home washer and dryer and amazing views of the Potomac River and surrounding national monuments from their over-sized or floor-to-ceiling windows. Come see everything The Prime at Arlington Courthouse apartments have to offer! Click here for Transportation Information.  Located just two blocks from the Courthouse Metro Station with convenient access to I-66, Georgetown and Alexandria.  1415 N Taft St  Arlington, va 22201  PROPERTY WEBSITE:  http://www.eqrworld.com/virginia/alexandria-arlington-apartments/courthouse/the-prime-at-arlington-courthouse-apartments.aspx?ilsid=93
",dogs are OK - wooof,apartment,6,w/d in unit,attached garage,$2595,no smoking,1181,2015-05-02 12:14pm,http://washingtondc.craigslist.org/nva/apa/5006427045.html
5006338992,Leesburg,US,39.090900,0,-77.545238,DC,available now,270000, 1,1 ,cats are OK - purrr,2015-06-06,"
        This apartment provides with both that a contemporary & cozy style that you have been searching for!  Come home to Somerset Park! 

Apartment Features:

• Breakfast bar
• Bookshelf/Case entertainment center
• Cathedral ceiling
• Contemporary styled kitchen 
• Corian countertops
• Expansive closets 
• Illuminated vanity, ceramic tile & spa tub 
• Large windows w/ trim
• Modern lighting
• Well appointed lay-out 
• White whirlpool appliances

Community Features: 

• 24 hr express maintenance 
• 24 hr fitness facility
• Grilling & picnic areas
• Meticulously-kept grounds 
• Picturesque community, complete with walking trails! 

Come explore The Somerset Park Apartments. Somerset Park Apartments loves pets!  We provide you with plenty of open parking both you & visiting family & friends

Somerset Park is located in Loudoun County, Leesburg, VA. We are minutes from a vast array of banks, health clinics, galleries, hospitals, restaurants, the famous Leesburg Corner Premium Outlets & other shops. In addition, Leesburg is also minutes away from Dulles International Airport, one mile off the private Dulles Toll Road (Dulles Greenway) & other major commuter thoroughfares for easy access to Washington, DC, Tyson's Corner, Winchester, VA, and Frederick, MD

Stop by or schedule a tour with us today just dial: 
 show contact info

Take a virtual tour of our community: http://youtu.be/hvhNm9rC1Mc 
Visit us at www.SomersetParkVA.com/CL


Please note that rental rates are subject to change based on availability.



",dogs are OK - wooof,apartment,8,w/d in unit,off-street parking,$1465,,755,2015-05-02 11:23am,http://washingtondc.craigslist.org/nva/apa/5006338992.html
5006302441,arlington,US,38.856500,0,-77.059200,DC,available now,0, 2,3 ,,2016-03-25,"
        $1350 looking for roommate  / 3br -LUX  Beautiful, Sunny Three  Bedroom Condo  in beautiful cystal city. sub way ,5 minus  to down town DC




3BR apartment available now
Bright, Sunny Lux beautiful condo 
two full bath, 
Includes washer/dryer, microwave, dishwasher, A/C
across street  to Metro
Two indoor parking space

$1350 per month

Just call 
 show contact info


",,condo,0,,,$1350,,,2015-05-02 11:00am,http://washingtondc.craigslist.org/nva/apa/5006302441.html
5006238965,Alexandria,US,38.803536,10,-77.072848,DC,available now,270000, 1,1 ,cats are OK - purrr,2015-05-02,"
 CALL US TODAY! 
show contact info
x242 CARLYLE MILL1 bedroom 1 bath   832sqft   $1,685 - $1,750  DESCRIPTION:  Perfect one bedroom one bath with walk-in closet. Studio style with a unique privacy wall to separate the bedroom form the living and dining room. NEWLY RENOVATED KITCHEN AND BATHROOM!!!  SPECIALS:  $99 move-in special on select apartment homes!! [Offer good thru 5/14/2015] Conveniently located in Alexandria with a swimming pool, basketball courts, theater room & 24-hour fitness center.  2201 Mill Rd  Alexandria, va 22314  PROPERTY WEBSITE:  http://www.eqrworld.com/virginia/alexandria-arlington-apartments/alexandria/carlyle-mill-apartments.aspx?ilsid=93
",dogs are OK - wooof,apartment,5,w/d in unit,detached garage,$1685,no smoking,832,2015-05-02 10:18am,http://washingtondc.craigslist.org/nva/apa/5006238965.html
4995692166,,,,,,,available now,270000, 4,3 ,,2016-05-01,"
        First time rental! Beautifully maintained townhome. Gourmet kitchen w/granite countertops, stainless steel appliances, center island & eat in kitchen that leads to rear deck. Main level has beautiful hardwood floors, crown molding and lots of windows. Upper and lower level have ww carpeting. Fully finished basement. Mins to I-95, less than 2 miles to Quantico. 

COMMUNITY POOL, MINS TO QUANTICO/BELVOIR, VRE, COMMUTER LOTS, I-95, SHOPPING, RESTAURANTS, PARKS.

3 Bedroom/2 Full, 2 Half Bathrooms

Located only minutes from Quantico Main Gate
One Car Garage (in rear of home)
Owner will pay all HOA fees



http://www.militarybyowner.com/homes/VA/Triangle/Potomac_Highlands_Cir/MBO340261.aspx
    ",,townhouse,15,w/d in unit,attached garage,$1849,,,2015-04-25 12:40pm,http://washingtondc.craigslist.org/nva/apa/4995692166.html
4995365841,Vienna,US,38.889029,0,-77.282295,DC,available now,270000, 1,1 ,cats are OK - purrr,2015-05-01,"
        Main Level of a large luxury home, walking distance to Vienna Metro.  $1800 month + utilities that average $185 including cable TV and Wi-Fi.

Totally private, comfortable & secure. Large Rooms include LR, DR with hardwood floors, full kitchen with fireplace, 24 X 20 Master Suite + Sitting Room + Dressing Room and Ceramic Bathroom with sunken tub and separate dual head Shower.  Tall ceilings, nice woodwork.

Money Magazine rated Vienna as the  ""4th best Place to Live in the U.S.""
Forbes magazine rated Vienna as the  ""3rd best place to Live""

Vienna Metro is 1.2 mile away, close to route 495. route 66, Tysons, Arlington, Fairfax City, Reston.

Perfect for the single professional.

Key Management Co,
Ken    
 show contact info
",dogs are OK - wooof,house,6,laundry on site,off-street parking,$1800,,2400,2015-04-25  9:13am,http://washingtondc.craigslist.org/nva/apa/4995365841.html
5006103640,Falls,US,38.845133,0,-77.142021,Church,available now,270000, 1,1 ,cats are OK - purrr,2015-05-04,"
 www.LiveBarcroftPlaza.com 
This great apartment is available for move-in as soon as 05/04/15.
Our Web site has so much more than this ad!
Get details on our neighborhood, apartments plus current prices
 and availability of our other apartments.
 Utilities not included in rent. 
Cats welcomed, no deposit or fees. We do not accept dogs.
br> Need more information? Call us 24/7 at 
 show contact info


22401, 22044, 22003, 22312, 22040, 22311, 22042, 22304, Harris Teeter, Giant, Bailey's Cross Roads, Safeway, Target, Fairfax County, Barcroft Plaza Shopping Center, Starbucks, Bank of America, Metro Bus Stop, Belvedere Elementary School, Glasgow Middle School, Jeb Steward High School, Leesburg Pike, Route 7, I-66, I-395, I-495,	Route 50, Capital Beltway, Cats, Garden, Barcroft Plaza, Kay Apartment Communities

    ",,apartment,4,laundry in bldg,,$1148,,640,2015-05-02  8:20am,http://washingtondc.craigslist.org/nva/apa/5006103640.html
5006101985,,,38.673784,0,-77.858262,,available now,270000, 2,3 ,,2015-05-02,"
        Located on sought after Springs Rd., just 4 miles from town. Enjoy beautiful pastoral views from large rear deck, great for entertaining. Renovated in 2011, this home has hardwood floors throughout, crown molding, formal dining room and large eat in kitchen. Upstairs there are 3 large bedrooms with a shared bath and fabulous claw foot bathtub. Enjoy country living but still close to the amenities in town. Available Now.
$35 Credit Check
show contact info

Possible pet
    ",,house,6,w/d in unit,off-street parking,$1695,,2500,2015-05-02  8:18am,http://washingtondc.craigslist.org/nva/apa/5006101985.html
5008184460,,,39.045500,0,-76.924200,,available now,0, 1,1 ,,2015-05-03,"
        House is owner occupied and will be shared with tenants

Shared Areas/Appliances -- Kitchen (Upper Level), Front Entrance, Washer & Dryer.

Available separately for rent

 Walk-out Basement Level -- 1 bedroom, 1 full bath, 1 large family room, 1 basin/sink, 1
refrigerator (light cooking allowed with portable electric stove) - $ 900

 Upper Level -- 1 bedroom, 1 full bath - $ Negotiable

",,house,0,w/d in unit,,$900,,1000,2015-05-03  5:12pm,http://washingtondc.craigslist.org/mld/apa/5008184460.html
5008175605,Rockville,US,39.112458,0,-77.183633,DC,available now,270000, 2,2 ,cats are OK - purrr,2015-07-01,"
        Gables Upper Rock, managed by Gables Residential
70 Upper Rock Circle
Rockville, MD 20850
show contact info


VIEW OUR WEBSITE:

http://www.gables.com/UpperRock/

Experience resort style living with our award winning amenities.

Huge Apartment! Courtyard View! 

Apartment Features
* Whirlpool Appliances
* High Efficiency Lighting Fixtures
* Designer Track Lighting
* Private Patio or Private Balcony (on select apartments)
* Dishwasher
* Pre-wired for internet and cable
* Environmentally Friendly Low VOC Paint
* Roommate Friendly Floor Plan
* Walk-in Closet
* Wood Floors
* Microwave
* Furnished Options Available, Call for Pricing
* Furnished or Unfurnished
* Linen Closet
* Washer and Dryer in unit
* Granite Countertops
* Stainless Steel Appliances
* Garden Tub
* Direct Access to Apartment from Garage
* Air Conditioning
* Energy Star Appliances
* Extra Storage
* Refrigerator

Community Features
* Renters Insurance is Required
* Minutes from Restaurants, Shopping, and Much More
* Bike Racks
* Yoga Lounge
* Elevator
* Professionally Managed
* Gaming Area
* Outdoor Grill Area
* Smoke Free Community
* Fitness Studio
* Shimmering Pool
* We are a social community! Find our blog, Facebook or Twitter page online. 
* Easy Access to Public Transportation
* Garage Parking
* Extra Storage
* Community Lounge
* Controlled Access
* Easy Freeway Access
* Foosball
* After-Hours Emergency Maintenance
* Dry Cleaning and Laundry Service
* Billiards
* Package Acceptance
* WiFi Access
* Landscaped Courtyards

[#1664998]
",dogs are OK - wooof,apartment,10,w/d in unit,,$1747,no smoking,1050,2015-05-03  5:05pm,http://washingtondc.craigslist.org/mld/apa/5008175605.html
5008023020,,,39.152600,0,-77.074900,,available now,270000, 1,1 ,,2015-08-01,"
        This is for 1 of 2 BR's in spacious 3 BR condo in Olney, MD right off of Georgia Avenue.   BR is very spacious and includes their own full private bathroom and entrance.  Condo has had many upgrades! Bedroom and bathroom have been repainted.  Bathroom has also been renovated! New tiling in the shower.  Carpets have been professionally cleaned.   BR can fit a queen size bed, dresser/cabinet, TV stand and maybe an arm chair.  Cable TV, high speed internet, and washer/dryer are included in the rent.  Walking distance to swimming pool, tennis courts, and several shopping centers.   Condo is close to Glenmont metro station.  Olney is very safe, quiet, and convenient.  Parking is very convenient and has no reserved parking spaces.  Please email me so that I can contact you.  Thank you! 
",,condo,7,laundry in bldg,,$750,no smoking,,2015-05-03  3:18pm,http://washingtondc.craigslist.org/mld/apa/5008023020.html
5008022285,Greenbelt,US,38.991741,0,-76.864349,DC,available now,270000, 2,3 ,cats are OK - purrr,2015-05-03,"
Glen Oaks Apartments  http://glenoaksapartments.prospectportal.com/su/dt5h CONTACT US  Glen Oaks Apartments 7509 Mandan Road, Suite 104, Greenbelt, MD 20770 
show contact info
 http://glenoaksapartments.prospectportal.com/su/dt5h Office Hours:   Mon : 9:00am - 6:00pm   Tue : 9:00am - 6:00pm   Wed : 9:00am - 6:00pm   Thu : 9:00am - 6:00pm   Fri : 9:00am - 6:00pm   Sat : 10:00am - 5:00pm   Sun : 12:00pm - 4:00pm     Apartments in Greenbelt, MD where convenience meets comfort. The convenience of the suburbs meets the DC lifestyle at Glen Oaks in Greenbelt. These apartment homes feature modern luxuries such as gorgeous hardwood foyers, soaking tubs and separate formal dining rooms. And with the included membership to Greenbriar Clubhouse, comes a swimming pool, party room, tennis and volleyball courts, and the Greenbelt Children's Center. The whole family will enjoy an abundance of activities. Get caught up in the local college atmosphere, courtesy of the University of Maryland, or take a speedy Metro ride to all the excitement of downtown DC. When you live at Glen Oaks, you live in a relaxed, comfortable community surrounded by endless possibilities. FLOORPLAN: Three Bedroom-Two Bath  Sq Feet: 1430  Rent: $2175.00 - $2333.00 Deposit: $300.00 - $600.00 Bed/Bath: 3/2  COMMUNITY AMENITIES  On-site Maintenance Swimming Pool Child Care Club House Tennis Court  EQUAL HOUSING OPPORTUNITY   
",dogs are OK - wooof,apartment,4,w/d in unit,off-street parking,$2175,,1430,2015-05-03  3:18pm,http://washingtondc.craigslist.org/mld/apa/5008022285.html
5007866607,,,38.842500,22,-76.922200,,available now,270000,,2,,2015-05-03,"
        GREAT SPECIALS on select apartments!!!!!

Just minutes away from Andrews Air force base and Suitland Station

GET PRE APPROVED IN MINUTES!!!- GREAT SPECIALS!


1,2, and 3 bedrooms available 


CALL CHARTE'!!!!
5601 Regency park court #7
Suitland, Md 20746

$45 Application Fee
$100 HOLD FEE
2 PAY STUBS 
PHOTO ID
Social Security CARD
    ",,apartment,4,,,$1428,,,2015-05-03  1:34pm,http://washingtondc.craigslist.org/mld/apa/5007866607.html
4975211650,Beltsville,US,39.029892,0,-76.922810,DC,available now,270000, 2,3 ,,2015-04-12,"
        Relocating to College Park? Only option is hit/miss new""luxury"" apartments that are highly questionable? Save yourself the money, unreliability and headache.

Our 3BR/2BA condo is available in a private community, around the corner from the Heart of College Park for only $1601/mo.

***REPLY WITH BACKGROUND AND EXPERIENCE if interested***

The Neighborhood:

- Quiet established condo buildings, min's away from the University
- Stone's throw from Rte 1 - Metro Bus/ University Bus stops
- Under 3 mi to 495/95 exit
- Under 5 mi to University/Restaurants/Groceries/Shopping/Entertainment in Heart of College Park


House Features:

- Newly reworked - installed insulation, recess lighting, cleaned carpet


The Deal:

- Apt is available immediately
- Min 1 year lease
- credit check
- 1 month rent security deposit


You:

- Clean, Responsible and Friendly
- Email me with your EXPERIENCE AND SOME BACKGROUND and schedule an appointment!
    ",,apartment,3,laundry in bldg,off-street parking,$1603,no smoking,1503,2015-04-12 10:33am,http://washingtondc.craigslist.org/mld/apa/4975211650.html
5007746716,,,38.991741,0,-76.864349,,available now,270000, 2,2 ,cats are OK - purrr,2015-06-15,"
Glen Oaks Apartments  http://glenoaksapartments.prospectportal.com/su/xsdf CONTACT US  Glen Oaks Apartments 7509 Mandan Road, Suite 104, Greenbelt, MD 20770 
show contact info
 http://glenoaksapartments.prospectportal.com/su/xsdf Office Hours:   Mon : 9:00am - 6:00pm   Tue : 9:00am - 6:00pm   Wed : 9:00am - 6:00pm   Thu : 9:00am - 6:00pm   Fri : 9:00am - 6:00pm   Sat : 10:00am - 5:00pm   Sun : 12:00pm - 4:00pm     Apartments in Greenbelt, MD where convenience meets comfort. The convenience of the suburbs meets the DC lifestyle at Glen Oaks in Greenbelt. These apartment homes feature modern luxuries such as gorgeous hardwood foyers, soaking tubs and separate formal dining rooms. And with the included membership to Greenbriar Clubhouse, comes a swimming pool, party room, tennis and volleyball courts, and the Greenbelt Children's Center. The whole family will enjoy an abundance of activities. Get caught up in the local college atmosphere, courtesy of the University of Maryland, or take a speedy Metro ride to all the excitement of downtown DC. When you live at Glen Oaks, you live in a relaxed, comfortable community surrounded by endless possibilities. FLOORPLAN: Two Bedroom-Two Bath   Sq Feet: 1200.00  Rent: $1590.00  Deposit: $300.00 - $600.00 Bed/Bath: 1/1  COMMUNITY AMENITIES  On-site Maintenance Swimming Pool Child Care Club House Tennis Court  EQUAL HOUSING OPPORTUNITY   
",dogs are OK - wooof,apartment,2,w/d in unit,off-street parking,$1569,,1200,2015-05-03 12:14pm,http://washingtondc.craigslist.org/mld/apa/5007746716.html
5007736530,Forstville,US,38.853900,22,-76.889100,DC,available now,270000, 1,2 ,cats are OK - purrr,2015-05-03,"


Holly Spring Meadows is a stunningly landscaped, garden style community located close to Suitland and Addison Road Metro Stations. We currently have spacious 1 bedroom apartment homes available for immediate move in.

Features

 Wall to Wall Carpet
 Balconies and patios
 Vertical/Mini Blinds
 Laundry facilities on-site
 Updated kitchen cabinets

This property has an income minimum and maximum qualifications, please call for more details.


Contact: Devin Quinichett
Phone: 
 show contact info

",dogs are OK - wooof,apartment,7,laundry in bldg,,$1075,,835,2015-05-03 12:07pm,http://washingtondc.craigslist.org/mld/apa/5007736530.html
4978197067,,,38.967500,0,-76.855100,,available now,0, 2,3 ,,2015-04-28,"
        BEAUTIFUL HOWNHOUSE, GOOD OR FAIR CREDIT OK. 2 RECENT PAYSTUBS AND PICTURE ID.
PATRICK,

show contact info
",,townhouse,0,,,$1700,,,2015-04-14  9:50am,http://washingtondc.craigslist.org/mld/apa/4978197067.html
5000602542,,,,,,,available now,270000, 1,1 ,cats are OK - purrr,2016-05-01,"
        Newly renovated sunny and spacious 1Br +Den which can be used as an office or a second bedroom, super quiet top floor, newly renovated condo in Christopher Court community is available in May.


- 800+ square feet of living space

- Quiet top floor (2nd) 

- Separate entrance for each unit

- 2 story with high ceilings

- End unit with plenty of light

- Large master bedroom with a balcony

- Newly renovated bath

- Open Kitchen with new stainless steel kitchen appliance, new water heater, etc.

- Washer / Dryer in the unit

- Fireplace 

- Plenty of parking included

- Tennis courts

- Pool

- Quiet landscaped area

- Close to Lake forest mall and shopping centers

- Bus stop nearby

- Nearby schools

- Non-smoker


- Rent: $1375 / Month
- Tenant pays water & electric
- Application fee: $35 per adult (to be paid to a third party company)
- Security deposit: 1 month of rent (refundable)
- Pets on a case by case basis. Pet deposit and pet fee applies
- Minimum lease term: 12 Months





keywords: Montgomery village , Gaithersburg 20877, 20879, 20855, 20850, 20878, 20876, 20886, 20882, Lakeforest Mall, condo , condominium , apt , apartment apartments apts Washingtonian Center, Giant Grocery Store, Seneca Creek State Park, Rio Center, Montgomery County, Bed Room , Bedroom , Metro Bus Stop , townhouse , town house , Hellingly , Christopher Ct , Christopher court , Bishopstone ct. , Bishopstone Court , Costco , Luxury , View , Modern , Contemporary , 1 2 3 4 5 Shady Grove Metro, Red Line, Summit Hall Elementary School, Forest Oak Middle School, Gaithersburg High School, apartments , apartment , Gaithersburg Elementary School, Montgomery college , Columbia Union College , Rockville , Germantown , Bethesda , I-270, 355 , Frederick road rd , Washington National Pike, I-370, Sam Eig Highway, ICC, Inter County Connector, cats , garden
",dogs are OK - wooof,condo,9,w/d in unit,street parking,$1375,no smoking,801,2015-04-28  3:47pm,http://washingtondc.craigslist.org/mld/apa/5000602542.html
5007056480,Rockville,US,39.112458,0,-77.183633,DC,available now,270000, 1,1 ,cats are OK - purrr,2015-07-01,"
        Gables Upper Rock, managed by Gables Residential
70 Upper Rock Circle
Rockville, MD 20850
show contact info


VIEW OUR WEBSITE:

http://www.gables.com/UpperRock/

Brand new two bedroom apartment ready now!

This apartment has plenty of space! Large bedroom, walk through closet, washer and dryer and more. 

Apartment Features
* Furnished or Unfurnished
* Private Patio or Private Balcony (on select apartments)
* Stainless Steel Appliances
* Extra Storage
* Walk-in Closet
* Roommate Friendly Floor Plan
* High Efficiency Lighting Fixtures
* Refrigerator
* Granite Countertops
* Energy Star Appliances
* Direct Access to Apartment from Garage
* Garden Tub
* Environmentally Friendly Low VOC Paint
* Air Conditioning
* Designer Track Lighting
* Wood Floors
* Furnished Options Available, Call for Pricing
* Linen Closet
* Dishwasher
* Whirlpool Appliances
* Washer and Dryer in unit
* Pre-wired for internet and cable
* Microwave

Community Features
* Landscaped Courtyards
* Minutes from Restaurants, Shopping, and Much More
* Easy Access to Public Transportation
* Shimmering Pool
* Extra Storage
* Easy Freeway Access
* Billiards
* Fitness Studio
* WiFi Access
* Controlled Access
* Bike Racks
* Outdoor Grill Area
* Garage Parking
* Gaming Area
* After-Hours Emergency Maintenance
* Smoke Free Community
* Foosball
* Package Acceptance
* Elevator
* Yoga Lounge
* Professionally Managed
* Community Lounge
* Renters Insurance is Required
* We are a social community! Find our blog, Facebook or Twitter page online. 
* Dry Cleaning and Laundry Service

[#1662467]
",dogs are OK - wooof,apartment,10,w/d in unit,,$1504,,735,2015-05-02  7:00pm,http://washingtondc.craigslist.org/mld/apa/5007056480.html
5007060101,,,38.994773,5,-76.926270,,available now,270000,,0,,2015-06-01,"
        A bedroom in a house, for one person only. WALK to UMD at College Park Campus. On multiple UMD Shuttle lines -- day and night. Close to everything -- shopping centers, highway, DC, Metro stations. Beautiful neighborhood. No pet. Please call 
show contact info
",,house,2,w/d in unit,off-street parking,$580,,,2015-05-02  7:03pm,http://washingtondc.craigslist.org/mld/apa/5007060101.html
