,address,city,country,latitude,location_data_accuracy,longitude,state,availability,average_image_size,bathroom,bedroom,cat,date_available,description,dog,housing_type,image_number,laundry,parking,price,smoking,square_footage,url
4984701946,,,,38.789400,22,-77.281800,,available now,270000, 1,2 ,cats are OK - purrr,2015-04-18,"
Move in today and pay no Fees for all unit types !! Five minutes from historic Fairfax and 15 minutes from Washington, DC. Fairfax Square has it all - a terrific location in northern Virginia's Fairfax County, close to the Beltway and Washington DC, I-66, Vienna Metro and Old Town Fairfax, plus apartment and townhome plans to suit any lifestyle or taste. The community is close to major shopping attractions, employment centers and George Mason University. No wonder this apartment community has won so many awards! Call Now: 
 show contact info
Additional Information:http://vanmetre.fairfaxsquareapt.com/7s9L0pFairfax Square Apartments 9860 Fairfax Square , Fairfax, VA, 22031This is a 897 Sq. Ft., 2 Bedroom, 1 Bath, Apartment Home. Apartment Home Features - Brand new clubhouse - 24-hour fitness facility  - Business center  - Wet Bar  - Club room with plasma TV  - Newly renovated homes  - Spacious floorplans  - Sunny, fully-equipped kitchens  - Microwave ovens  - Dishwashers  - Frost-free refrigerators  - Disposals  - Individually controlled heating and air conditioning  - Wall-to-wall carpeting  - Washers and dryers in every home  - Private balconies and terraces  - Vertical or mini-blinds on every window  - Separate dining rooms Community Amenities - 24-hour express maintenance - Concierge Services  - Package Acceptance  - Fireplaces in select homes  - 24-hour emergency response  - Swimming pool with tot wading pool and playground  - Community activities  - Picnic areas with grills  - Flexible Lease Terms Driving Directions Driving Directions: I-495 to Little River Tpk./Fairfax exit (Rte. 236 West). Travel west 4 miles to Fairfax Square on your right. Or 10 blocks east of Courthouse on Mainstreet (Rte. 236). Office Hours Monday to Friday: 9am to 6pmSaturdays: 10am to 5pmSundays: 11am to 5pm Pet Policy No weight limit. Only breed restrictions is pitbulls.  Managed by Van Metre Companies Equal Housing Opportunity Pricing may include current special and is subject to change without notice. Sat, Apr 18, 2015, 08:23:32 32672385356527623 
",dogs are OK - wooof,apartment,9,w/d in unit,off-street parking,$1599,,897,http://washingtondc.craigslist.org/nva/apa/4984701946.html
4958911752,,,,,,,,available now,270000, 1,2 ,cats are OK - purrr,2015-04-01,"
        Two spacious bedroom with plenty of closet space. Bright and sunny living space, massive windows and the kitchen you have been looking for! Contact Bianca for a tour today! ROSVA5
    ",dogs are OK - wooof,apartment,4,laundry in bldg,attached garage,$1634,,,http://washingtondc.craigslist.org/nva/apa/4958911752.html
4984685219,5375 Duke Street,Alexandria,US,38.812851,10,-77.124804,VA,available now,270000, 2,3 ,cats are OK - purrr,2015-05-16,"
 www.LondonParkTowers.com 
This great apartment is available for move-in as soon as May 16, 2015.
Our Web site has so much more than this ad!
Get details on our neighborhood, apartments plus current prices
 and availability of our other apartments.
 Rent includes gas & electricity--you pay only water/sewer. 
Cats welcomed--no deposit or fees. Sorry, we don't accept dogs.
Can't find what you want on our Web site?  Call us 24/7 at 
 show contact info


22304, 22312, 22310, 22311, 22302, 22314, Landmark Mall, Old Town Alexandria, United States Patent & Trademark Office, USPTO, Pentagon, City of Alexandria, Charles E. Beatley Jr. Library, Holmes Run Bike and Trail, Metro Bus Stop,	Van Dorn Metro, Pentagon Metro, Blue Line, Yellow Line, Dash Bus Stop, King Street Metro,	 Patrick Henry Elementary School, Francis C. Hammond Middle School,	TC Williams High School, TC Williams High School-Minnie Howard Campus, I-395, I-495, Capital Beltway, I-95, Cats, Some Utilities Included, Highrise, Midrise, London Park Towers, Kay Apartment Communities

    ",,apartment,4,laundry in bldg,,$1799,,1400,http://washingtondc.craigslist.org/nva/apa/4984685219.html
4948134698,,,,,,,,available now,270000, 1,1 ,cats are OK - purrr,2015-03-25,"
        Gorgeous one bedroom in luxury community is waiting for you to call home! Huge windows with sweeping views from the eleventh floor. Gourmet open kitchen with island, walk in closet, private balcony and much more!

Contact Bianca for a private tour! GREVA18
    ",dogs are OK - wooof,apartment,7,w/d in unit,attached garage,$2190,,,http://washingtondc.craigslist.org/nva/apa/4948134698.html
4965649308,,,,,,,,available now,0,,0,,2016-04-05,"
        ********************** MOVE IN / OUT SPECIALS ********
HELLO. WE ARE INDEPENDENT CLEANING SERVICES WHIT MORE THAN 5 YEARS OF EXPERIENCES, GOOD REFERENCES AND WE CLEAN HOUSES, APARTMENTS, TOWN HOUSES, OFFICES ETC.
OFFER SERVICES WEEKLY, BI-WEEKLY, MONTHLY. ONE TIME, MOVE IN, MOVE OUT.

************** WE ALSO CLEAN CARPETS TOO ***************

SUPPLIES DON'T HAVE TO BE PROVIDED.
FREE ESTIMATES.
REACH US AT:
DAYSI: 
 show contact info

JOSE: 
 show contact info
",,apartment,0,,, (northern virginia),,,http://washingtondc.craigslist.org/nva/apa/4965649308.html
4984710336,8190 Strawberry Lane,Falls,US,38.872525,0,-77.228233,Church,available now,270000, 1,1 ,cats are OK - purrr,2015-04-18,"
        Beautiful one, two and three bedroom apartments right in the heart of the Falls Church Mosaic District! Enjoy this area's expansive shopping, dining and entertainment opportunities. Also providing a free shuttle to the Dunn Loring metro station!

 Situated above the Mosaic district and walking distance to the Dunn Loring metro, Vantage is a perfect location for you! With a variety of restaurants underneath the community, fine dining is only a few steps away.

 Apartments include:
 *Granite Countertops
 *Washer and Dryer in unit
 *Double sinks and soaking tubs in select units
 *Hardwood Floors

 On-Site Amenities Include:
 *Fitness Center
 *Theatre Room
 *Community Room with pool table and poker table
 *Pool
 *Front Desk Services
 *Controlled Access Entry
 *Shuttle to the Dunn Loring Metro
 *Parking garage with elevator to your floor

 Give us a call so we can schedule your tour today! 
 show contact info

www.VantageMosaic.com

•do NOT contact me with unsolicited services or offers
",dogs are OK - wooof,apartment,5,w/d in unit,attached garage,$1962,,955,http://washingtondc.craigslist.org/nva/apa/4984710336.html
4984657624,,,,,,,,available now,270000, 1.5,3 ,cats are OK - purrr,2015-04-18,"
En Brookville Townhomes Valoramos la calidad de vida de nuestros residentes. Entendemos que al final del día usted desea volver a casa a un lugar que se puede sentir orgulloso de llamar hogar es por eso que tenemos  mantenimiento 24 horas al dia  para cuidar de usted.Descubre por qué nuestros residentes están tan orgullosos de haber encontrado a nuestra comunidad .CALL:
show contact info
  . 3 Bed 1.5 Bath . 1428 sq ft Brookville Townhomes : 5402 Taney Ave Alexandria, va 22304  Send us an Email  DESCRIPTION  CALL US TODAY! 
 show contact info

",dogs are OK - wooof,apartment,2,w/d in unit,,$1795,,1428,http://washingtondc.craigslist.org/nva/apa/4984657624.html
4984709681,2727 S. Quincy Street,Arlington,US,38.841794,10,-77.086447,VA,available now,270000, 1,1 ,cats are OK - purrr,2015-04-18,"
        We have  a fantastic one-bedroom, one-bathroom apartment home available for an immediate move in!  Our unique 1 bedroom apartment homes feature an incredible use of space:  from the spacious living room to the sprawling bedroom, these homes have so much to give. Our availability is limited, and pricing does change daily, so please call us today to schedule your personal tour and receive our most accurate pricing.
Call us at 
 show contact info
or email us at 
 show contact info
 to schedule an appointment...
We look forward to seeing you soon!
",dogs are OK - wooof,apartment,10,w/d in unit,attached garage,$1825,,748,http://washingtondc.craigslist.org/nva/apa/4984709681.html
4984709336,Republic Court,Alexandria,US,38.758900,0,-77.087300,VA,available now,270000, 2,3 ,,2015-05-01,"
        Spacious 3 bedroom apartment for rent in Mt Vernon Square Community.  Two full bathrooms.  W/D in unit.  Community offers fitness center w/tanning bed and swimming pool.  Pics/showing upon request.  Carpet will be cleaned before new tenants move in.  Available May 1st.  Save $300 if moving in before June 1st.
    ",,apartment,3,w/d in unit,,$1625,,1155,http://washingtondc.craigslist.org/nva/apa/4984709336.html
4959623920,,,,,,,,available now,270000, 2,2 ,cats are OK - purrr,2015-04-19,"
        Please call 
 show contact info
or email 
 show contact info
 to schedule a visit.



* Designer kitchens with cherry wood cabinets
* Premium black appliances including built-in microwave
* Optional upgraded stainless steel package
* Oversized breakfast bar
* Track lighting
* Ceramic tile foyers, kitchens and bathrooms
* Wall to wall carpet, choose from two styles
* Abundant closets and optional extra storage space
* Full-size washer/dryer in every apartment home
* Two-tone beige walls with white trim
* Courtyard views available
* We have flexible lease terms, 3 -24 month leases are available

* Energy efficient windows with mini blinds
* Personal climate control gas heating
* Gas cooking
Controlled Access Buildings with a guest intercom


* Convenient to Pentagon City and Crystal City Metro Stations
* Metrobus stops in community
* Complimentary shuttle Service to Pentagon City Metro
* Less than 5 minutes to I-395 and I-66
* Located in a quiet, established neighborhood
* Walking distance to stores and restaurants

* Quiet, established, private neighborhood
* 24-hour club room with fireplace and cinema setup
* 24-hour business center with free wi-fi
* 24-hour state of the art fitness center
* Free off-street parking and/or optional controlled access parking garage
* Sparkling swimming pool
* Complimentary shuttle Service to Pentagon City Metro
* ""Managed with Pride"" staff
* Resident Services


",dogs are OK - wooof,apartment,18,w/d in unit,off-street parking,$1800,,972,http://washingtondc.craigslist.org/nva/apa/4959623920.html
4956899646,,,,,,,,available now,270000, 1,1 ,cats are OK - purrr,2015-03-30,"
        Charming one bedroom in Old Town is waiting for you to call home! Bright and sunny living space, large kitchen and plenty of closet space. Easy access to dining and shopping. Contact Bianca for a tour today! ROSVA6!
    ",dogs are OK - wooof,apartment,5,,,$1325,,,http://washingtondc.craigslist.org/nva/apa/4956899646.html
4969556277,,,,,,,,available now,270000, 2,2 ,cats are OK - purrr,2015-04-08,"
        Amazing two bedroom unit with a private outdoor terrace that will blow your mind! 400 square feet of private living space is waiting for you! Gorgeous gourmet kitchen and wood floors throughout! Steps to the metro and easy access into DC. Contact Bianca for a tour today! UDRVA1!
    ",dogs are OK - wooof,apartment,8,w/d in unit,attached garage,$3053,,1368,http://washingtondc.craigslist.org/nva/apa/4969556277.html
4939323161,,,,,,,,available now,270000, 1,2 ,cats are OK - purrr,2015-03-19,"
        Quiet community with true neighborhood feel! Two large bedrooms and a massive kitchen with comfy breakfast bar! Washer and dryer in unit and pet friendly. Parking available, gym, easy access to the metro. Welcome home! GHMVA3!
    ",dogs are OK - wooof,apartment,7,w/d in unit,off-street parking,$1732,,,http://washingtondc.craigslist.org/nva/apa/4939323161.html
4984666160,7525 Woodside Lane,Lorton,US,38.707866,10,-77.202317,VA,available now,270000, 1,2 ,,2015-04-18,"
 Location:   7525 Woodside Lane - Lorton, VA 22079 Rental Information:$1514 - $1565 /Month |2 Bedroom 1 Bath | 903 sq ftLease Term:  Variable, Monthly, 3-Month, 4-Month, 6-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month   Apartment Amenities:  -- Air Conditioning-- Dishwasher-- Private patio or balcony with exceptional views Property Features: -- Pet-friendly community  Call: Woodside at 
 show contact info
Right off Route 1 and moments from I-95, the community is also close to Davison Army Airfield, Ft. Belvoir and a wide number of parks including the popular Pohick Bay Park located on the Potomac River. Without a doubt, the apartments near Springfield, VA at the Woodside make finding what you need easier than ever.Get More Information  Facebook: https://www.facebook.com/#!/WoodsideApartments EQUAL HOUSING OPPORTUNITY 
",,apartment,12,w/d in unit,,$1542,,903,http://washingtondc.craigslist.org/nva/apa/4984666160.html
4959671803,,,,,,,,available now,270000, 2,2 ,cats are OK - purrr,2015-04-19,"
        Please call 
 show contact info
or email 
 show contact info
 to schedule a visit.

Fireside lounge
Barbecue area with grills and gazebo
Community room
Storage area
24-hr concierge
Private shuttle to the Huntington Metro
On-site shopping

Washer and dryer
Beautiful crown molding
Plush wall-to-wall carpeting
Self cleaning oven
Frost-free refrigerator with ice maker
Microwave oven, dishwasher, and disposal

Ceiling fan in master bedrooms
Floor-to-ceiling bay window
Cable T.V. connections
Custom-fitted mini-blinds
Individually controlled heating and central air conditioning
State-of-the-art sprinkler system
ndoor/Outdoor pool
Jacuzzi, sauna & steam room
Racquetball court
Two illuminated tennis courts
Spectacular fitness center with state-of-the-art weight training and cardio equipment



Please call 
 show contact info
or email 
 show contact info
 to schedule a visit.
",dogs are OK - wooof,apartment,15,w/d in unit,off-street parking,$1830,,1180,http://washingtondc.craigslist.org/nva/apa/4959671803.html
4939964988,,,,,,,,available now,270000, 1,1 ,cats are OK - purrr,2015-04-21,"
        Bright and sunny one bedroom in luxury community. Seconds to the metro, monument views from roof top lounge and minutes to the Pentagon. Must see! Contact Bianca for a tour! BOZVA3
    ",dogs are OK - wooof,apartment,6,w/d in unit,attached garage,$2057,,,http://washingtondc.craigslist.org/nva/apa/4939964988.html
4952438460,Faulkner at Berry,Martinsburg,US,39.450013,0,-77.977867,WV,available now,270000, 1,1 ,,2015-04-01,"
        One bedroom apartment with quality fixtures and appliances. Unit measures approximately 1000 square feet and includes one bedroom and large office. Central heating and air-conditioning. Premium satellite (DirecTV) service included.  Coin operated washer and dryer in basement. Extra storage space. Quiet neighborhood located on south end of Faulkner Avenue in Martinsburg. Close to I81 and Martinsburg Shopping Mall. Price: $745 a month includes water/sewer/garbage. $40 additional charge for Comcast internet service (Cat5 and wireless).  Sorry, no pets.
    ",,apartment,4,laundry in bldg,off-street parking,$745,no smoking,1000,http://washingtondc.craigslist.org/nva/apa/4952438460.html
4984705397,4510,Arlington,US,38.837789,0,-77.093038,VA,available now,270000, 1,2 ,,2015-06-20,"
        Gorgeous two-bedroom apartment features energy efficient kitchen appliances with a dishwasher   Additional features include extra storage space for your personal items and for your comfort, central air conditioning and individual temperature control.

Relax on the sundeck by our huge swimming pool.  You enjoy a walk through our pristine, professionally landscaped grounds with trees and flowers in bloom.
Shopping is only a few blocks away at the Shirlington Village.  Harris Teeter, Johnny Rockets, Energy Club and P.F. Chang's are just a few of the shops close by to your new home.

Please call 
 show contact info
and ask for Blanca or Ashanti to schedule your own private tour!

For more information see our website at: 
www.ParkShirlington.com/CL
www.ParkShirlington.com/Video
",,apartment,12,laundry in bldg,off-street parking,$1630,,945,http://washingtondc.craigslist.org/nva/apa/4984705397.html
4984665007,,,,,,,,available now,270000, 1.5,2 ,cats are OK - purrr,2015-04-18,"
        Look Forward to coming HOME! This beautiful 2BR 1.5ba end unit home is waiting for you to move in. With tons of sunlight from the dual exposure in all the rooms, you'll enjoy entertaining your guests and a time well spent.

CALL AND MAKE AN APPOINTMENT, OR BETTER YET, STOP IN TODAY!!!


 Brookville Townhomes 
 5402 Taney Ave Alexandria, VA 22304 


 Call Us Today! 
 show contact info


 2AR -- 2 bed / 1.5 bath / 958 sq ft / $1,705

This home normally rents for $1805. Stop in today before our special ends!!


 958 sqft - Hardwood Floors - 2 Levels


 Floor Plan Features 

 Central A/C & Heating
 Updated kitchens 
 Stainless Appliances
 Large Closets 
 Fully carpeted 
 Wood Floors 
 Cable/Satellite Available 
 Washer/Dryer in Unit 
  Private Entrances 

 Lease Terms:
 3,6,9, and 12 months! 


 Office Hours 
 Monday: 9:00am to 6:00pm 
 Tuesday: 9:00am to 6:00pm 
 Wednesday: 9:00am to 6:00pm 
 Thursday: 9:00am to 6:00pm 
 Friday: 9:00am to 6:00pm 
 Saturday: 9:00am to 6:00pm 


 Management Company:
 Dreyfuss Management 






 Call Us Today!  
 show contact info


 Equal_Housing_Opportunity 

",dogs are OK - wooof,townhouse,8,w/d in unit,,$1705,,958,http://washingtondc.craigslist.org/nva/apa/4984665007.html
4984701516,,,,38.887100,22,-77.093200,,available now,0, 1,2 ,cats are OK - purrr,2015-05-01,"
 CALL US TODAY! 
show contact info
x531 THE CLARENDON1 bedroom 1 bath   861sqft   Please Call  DESCRIPTION:  Spacious one bedroom with den with a balcony overlooking the sparking pool. This unit features hardwood floors stainless steel appliances and granite counter tops.  Just steps from the Orange line, our convenient location is within walking distance of great restaurants, shopping and entertainment and provides easy access to I-66, I-395 and the George Washington Parkway.  1200 North Herndon Street  Arlington, va 22201  PROPERTY WEBSITE:  http://www.eqrworld.com/virginia/alexandria-arlington-apartments/clarendon/the-clarendon-apartments.aspx?ilsid=93
",dogs are OK - wooof,apartment,0,w/d in unit,attached garage,$2530,no smoking,861,http://washingtondc.craigslist.org/nva/apa/4984701516.html
4984701479,4510,Arlington,US,38.837789,0,-77.093038,VA,available now,270000, 1,2 ,cats are OK - purrr,2016-04-17,"
        Park Shirlington Apartments. This is a great place to call home! 
Well laid out 2 bedroom,1 bath . The kitchen includes dishwasher,  and many cabinets. Parking is ample for you and your guests. 

Our Community Includes:
 Olympic Size Pool 
 Playgrounds and Picnic Areas 
 Plenty of on-site Parking
 Dog & Cat Friendly Community 
 Friendly Leasing Staff
 Minutes from 395
 less than 10 minutes from Pentagon Metro station via bus

This two bedrooms and one bath apartment home features a spacious 755 SQFT living space that offer you all the comforts of home. You will enjoy the beautiful location nice size closets.  

Your apartment home is waiting for you and is always backed by the professional and caring staff of Park Shirlington Apartments! Call us today to schedule an appointment to tour our beautiful community! 

Please call 
 show contact info
and ask for Blanca or Ashanti to schedule your own private tour!

For more information see our website at: 
www.ParkShirlington.com/CL
www.ParkShirlington.com/Video
",dogs are OK - wooof,apartment,9,laundry in bldg,street parking,$1540,,755,http://washingtondc.craigslist.org/nva/apa/4984701479.html
4980404334,,,,,,,,available now,270000, 1,1 ,cats are OK - purrr,2015-05-30,"
        Please call 
 show contact info
or email 
 show contact info
 to schedule a visit. Showing Mon-Sat 10am-5pm and Sundays 12pm-4pm.

    Cable and High-Speed Internet Available
    Ceramic Tile Flooring in Bathroom
    Dishwasher
    Disposal
    Gourmet Kitchens- In Select Units Only
    Hardwood Design- In Select Units Only
    Microwave- In Select Units Only
    Private Balcony/Patio
    Refrigerator
    Spacious Rooms
    Walk in Closets- In Select Units Only
    Wall-To-Wall Carpet - In Select Units Only
    Washer and Dryer in 2 BRs and 3 BRs
    24-Hour Business Center
    24-Hour Fitness Center
    ATM Machine
    Club Room
    Community Walking Trails
    Concierge
    Convenience Store
    Elevator
    Garage Parking
    Hair and Nail Salon
    High Speed Internet
    On-Site Dry Cleaning Service
    On-Site Laundry Facilities
    On-Site Maintenance
    On-Site Management
    On-Site Storage
    Package Acceptance
    Resort-Style Pool
    Walking Distance to Crystal City Metro
    Walking distance to Crystal City Underground Shops & Restraurants
    Walking Distance to Pentagon Row Shops and Restaurants

Please call 
 show contact info
or email 
 show contact info
 to schedule a visit. Showing Mon-Sat 10am-5pm and Sundays 12pm-4pm.
    ",dogs are OK - wooof,apartment,10,laundry in bldg,attached garage,$1600,,871,http://washingtondc.craigslist.org/nva/apa/4980404334.html
4980430748,,,,,,,,available now,270000, 1,1 ,cats are OK - purrr,2015-04-22,"
        Please call 
 show contact info
or email 
 show contact info
 to schedule a visit. Showing Mon-Sat 10am-5pm and Sundays 12pm-4pm.


24-Hr. Fitness Center
Two Clothes Care Facilities
Garage Parking
On-site Storage
Easy walk to restaurants and retail
High Speed Internet
WALK TO METRO

Business Center
Expansive Club Suite
Games Room
Conference Room
Central Courtyard
Rooftop Sundeck
Resort-style Swimming Pool

Garage Parling
Resort-style Pool
Availability 24 Hours
Club House
Concierge
On Site Maintenance
On Site Management
Short Term Lease
Storage Space

Wall-to-wall living room windows
Eat-in-kitchen
Modern kitchen appliances
Caterer's entry (select Units)
Private patio and balconies (select Units)
Ceramic Tile Flooring In Bathroom
Wall-to-wall Carpet
Separate dining area
Cable and high-speed internet available
Gourmet Kitchens
Spacious Rooms
Dishwasher
Additional Storage
Air Conditioner
Ceiling Fan
Controlled Access
Disposal
Garage
Large Closets
Microwave
Refrigerator
Wheel Chair


Please call 
 show contact info
or email 
 show contact info
 to schedule a visit. Showing Mon-Sat 10am-5pm and Sundays 12pm-4pm.
    ",dogs are OK - wooof,apartment,9,laundry in bldg,attached garage,$1805,,887,http://washingtondc.craigslist.org/nva/apa/4980430748.html
4984679601,8301 ANDERSON DRIVE,FAIRFAX,US,38.861340,0,-77.229875,VA,available now,270000, 1,1 ,cats are OK - purrr,2015-04-18,"
        Renovated in Fairfax
High end finishes and appliances.
Designer kitchen
Wall to wall carpeting throughout
Ceramic/marble throughout bathroom
Washer/dryer combo in home
Custom window blinds
Steps from Dunn Loring Metro, Giant, Target, H-Mart, The Mosaic, many more restaurants and nightlife
Walkability score 54
More pictures available to email at 
 show contact info

Not included, cable/internet
Utilities - gas, water/sewer, trash, electric, all-in-one bill.
Minimum one year lease. Security deposit flexible.
Credit report required
All pets considered
Call for a viewing
amb156will arle
show contact info

show contact info
",dogs are OK - wooof,apartment,6,w/d in unit,off-street parking,$1580,,861,http://washingtondc.craigslist.org/nva/apa/4984679601.html
4980417776,,,,,,,,available now,270000, 2,2 ,cats are OK - purrr,2015-04-16,"
        Please call 
 show contact info
or email 
 show contact info
 to schedule a visit.


* Designer kitchens with cherry wood cabinets
* Premium black appliances including built-in microwave
* Optional upgraded stainless steel package
* Oversized breakfast bar
* Track lighting
* Ceramic tile foyers, kitchens and bathrooms
* Wall to wall carpet, choose from two styles
* Abundant closets and optional extra storage space
* Full-size washer/dryer in every apartment home
* Two-tone beige walls with white trim
* Courtyard views available
* We have flexible lease terms, 3 -24 month leases are available

* Energy efficient windows with mini blinds
* Personal climate control gas heating
* Gas cooking
Controlled Access Buildings with a guest intercom


* Convenient to Pentagon City and Crystal City Metro Stations
* Metrobus stops in community
* Complimentary shuttle Service to Pentagon City Metro
* Less than 5 minutes to I-395 and I-66
* Located in a quiet, established neighborhood
* Walking distance to stores and restaurants

* Quiet, established, private neighborhood
* 24-hour club room with fireplace and cinema setup
* 24-hour business center with free wi-fi
* 24-hour state of the art fitness center
* Free off-street parking and/or optional controlled access parking garage
* Sparkling swimming pool
* Complimentary shuttle Service to Pentagon City Metro
* ""Managed with Pride"" staff
* Resident Services


",dogs are OK - wooof,apartment,14,w/d in unit,off-street parking,$1707,,972,http://washingtondc.craigslist.org/nva/apa/4980417776.html
4984670512,,,,39.015182,5,-77.509918,,available now,270000, 1,1 ,cats are OK - purrr,2015-04-18,"
Welcome Home. Imagine yourself living here!Welcome Home!Call Now: 
 show contact info
Broadlands Apartments 21799 Crescent Park Square, Ashburn, VA, 20148 Additional Information:http://vanmetre.broadlandsapt.com/9k2sb7This is a 806 Sq. Ft., 1 Bedroom, 1 Bath, Apartment Home. Developed by the Van Metre Companies, Broadlands is one of Greater Washington's premiere master-planned communities. Set in scenic Loudoun County near Dulles Airport, it's a complete hometown located in Ashburn, VA. Broadlands Apartment's a Signature Rental community provides Ashburn residents with touches like nine-foot ceilings, crown molding and high-speed Internet access, along with great outdoor recreational amenities, Broadlands Apartments is a luxurious address in a signature suburban setting.2 months rent off select units!  Apartment Home Features - 1BR, 2BR, 3BR and Townhome designs  - Private garages with remote door openers available  - Island kitchens and two-sided fireplaces available (per home plan)  - Instant-on high speed internet access and cable TV  - Built-in home theater surround sound  - Ceramic tile foyers  - Nine-foot ceilings  - Ceiling fans Community Amenities - Resident activities  - Fastidiously landscaped grounds  - Swimming pool  - 24-hour express maintenance  - Fitness center open 24 hours/day  - Part of the Broadlands master-planned community  - Flexible Lease Terms  - Corporate and short term leases available  - Rent-to-purchase program Pet Policy No weight limit! Only breed restriction is pitbulls. Driving Directions From I-495 take Dulles Toll Road West to Dulles Green West to exit 6 (Rte 772-Ashburn Village Blvd.). Make a left onto Route 772. Go through the first 4-way stop. After crossing through the first stop sign make your 1st Left on Demott. Go 1/2 mile and make a Left onto Reilly and the clubhouse will be directly through the gates. Office Hours Monday through Friday 9am- 6pmSaturday 10am- 5pmSunday 11am- 5 pm  Managed by Van Metre Companies Equal Housing Opportunity Pricing may include current special and is subject to change without notice. Sat, Apr 18, 2015, 07:12:46 32672385320127623 
",dogs are OK - wooof,apartment,11,w/d in unit,off-street parking,$1408,,806,http://washingtondc.craigslist.org/nva/apa/4984670512.html
4984682027,6200 Lachine Lane,Alexandria,US,38.815043,10,-77.142965,VA,available now,270000, 1,2 ,cats are OK - purrr,2015-05-01,"
        Morningside

*What people are saying about Morningside*

*""I'm a longtime resident. The apartments are very big and everything is included.""* -- *Resident *

*""Love it!""* -- *Resident *

*""Relatively affordable, easy access to shops and public transportation, easy access to metro, 395 & 495.""* -- *Resident *

*Interior Features*

 • Equipped Kitchens w/ Modern Appliances
 • Heating
 • Air Conditioning
 • Private Balconies
 • Abundant Closet Space
 • Huge Floorplans




The monthly rental price stated on Craigslist is accurate at the time or post.
Please call to verify all pricing and availability as it may be subject to change daily.

Morningside is an Equal Housing Opportunity Provider
.-: :-. ...--:-....:-----:..:-.. .----:-----:-..:----.:....- ...-:---..

tYskcMyGrJ pYskuY lYska yYskyAi RYskcar EHO / This Property iS AN EquaL HOuSiNg opPortuNItY ProViDer bxpqRD FYskbaW agUJW Ysk pIQgE Pli ObGC uYskuv
    ",dogs are OK - wooof,apartment,11,laundry in bldg,off-street parking,$1780,,1188,http://washingtondc.craigslist.org/nva/apa/4984682027.html
4980422343,,,,,,,,available now,270000, 2,2 ,cats are OK - purrr,2015-04-30,"
        Close to Major Highways Close to Public Transportation Cats and Dogs Welcome, No Weight Limits
Fairfax County Public Schools

Please call 
 show contact info
or email 
 show contact info
 to schedule your appointment!!


Great Storage Space
Access to Daylight from Open Floor Plans
High Ceilings
Separate Dining Room
Swimming Pool & Sundeck
Free Wi-Fi Hotspot in Clubhouse
Fully Equipped Kitchen
Dishwasher
In-home Washer/Dryer Air Conditioning
Balcony or Patio
Fitness Center
Business Center
Resident Events
Package Receiving
Car Care Area
Dog Park
Beautifully Landscaped Grounds
On-site Parking
Close to Shopping, Dining, & Entertainment


Please call 
 show contact info
or email 
 show contact info
 to schedule your appointment!!

",dogs are OK - wooof,apartment,17,w/d in unit,off-street parking,$1580,,1100,http://washingtondc.craigslist.org/nva/apa/4980422343.html
4980407808,,,,,,,,available now,270000, 2,2 ,cats are OK - purrr,2015-05-07,"
        Please call 
 show contact info
or email 
 show contact info
 to schedule a visit. Showing Mon-Sat 10am-5pm and Sundays 12pm-4pm.


Cable and high-speed internet available
Gourmet Kitchens
Spacious Rooms
Dishwasher
Additional Storage
Air Conditioner
Ceiling Fan
Controlled Access
Disposal
Garage
Large Closets
Microwave
Refrigerator
Wheel Chair

Wall-to-wall living room windows
Eat-in-kitchen
Modern kitchen appliances
Caterer's entry (select Units)
Private patio and balconies (select Units)
Ceramic Tile Flooring In Bathroom
Wall-to-wall Carpet
Separate dining area



Business Center
Expansive Club Suite
Games Room
Conference Room
Central Courtyard
Rooftop Sundeck
Resort-style Swimming Pool
24-Hr. Fitness Center
Two Clothes Care Facilities
Garage Parking
On-site Storage
Easy walk to restaurants and retail
High Speed Internet
WALK TO METRO
Garage Parking
Resort-style Pool
Availability 24 Hours
Club House
Concierge
On Site Maintenance
On Site Management
Short Term Lease
Storage Space

Please call 
 show contact info
or email 
 show contact info
 to schedule a visit. Showing Mon-Sat 10am-5pm and Sundays 12pm-4pm.
    ",dogs are OK - wooof,apartment,9,laundry in bldg,attached garage,$2315,,1197,http://washingtondc.craigslist.org/nva/apa/4980407808.html
